2026-06-03 08:38:14,807 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:38:26,556 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:38:33,166 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:38:33,166 | INFO | Job 'sync_trades' completado.
2026-06-03 08:38:45,438 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:39:14,595 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:39:14,612 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:39:26,568 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:39:32,823 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:39:32,823 | INFO | Job 'sync_trades' completado.
2026-06-03 08:39:45,124 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:40:14,558 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:40:14,818 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:40:26,568 | INFO | Ejecutando job 'sync_trades' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode sync_trades --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:40:32,829 | INFO | Riesgo sync_trades [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:40:32,829 | INFO | Job 'sync_trades' completado.
2026-06-03 08:40:44,624 | INFO | Ejecutando job 'production' [aggressive_hybrid_v1_3_tp5_sl3]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode production --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260513_152459.yaml
2026-06-03 08:40:45,221 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:40:59,924 | INFO | Señal production [aggressive_hybrid_v1_3_tp5_sl3]: ts=2026-06-03 16:40:00 signal=HOLD primary=BUY(0.797) filter=HOLD support=-0.15238801075845437 pips=4.909974052221829 reason=filter_hold_wait_candle_retrace entry=1.16062 sl=1.16009 tp=1.16151
2026-06-03 08:40:59,925 | INFO | Job 'production' completado.
2026-06-03 08:41:09,608 | INFO | Ejecutando job 'production' [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: C:\Users\USER\Documentos\Maestria\Mark-III\.venv\Scripts\python.exe main_pipeline.py --mode production --config C:\Users\USER\Documentos\Maestria\Mark-III\config\config_optimizado_20260519_223006.yaml
2026-06-03 08:41:14,554 | WARNING | Se omite job 'sync_trades': hay otra ejecucion activa en el grupo 'automation_scheduler.management.lock'.
2026-06-03 08:41:16,716 | INFO | Riesgo monitor_runtime [aggressive_hybrid_v1_3_tp5_sl3]: open=0 break_even=0 partials=0 pending=0 last_signal=- last_action=-
2026-06-03 08:41:26,194 | INFO | Señal production [aggressive_hybrid_v1_3_tp5_sl3_directional_robust]: ts=2026-06-03 16:40:00 signal=HOLD primary=HOLD(0.366) filter=HOLD support=0.0 pips=0.1849542482861766 reason=signal_hold entry= sl= tp=
2026-06-03 08:41:26,194 | INFO | Job 'production' completado.
